browser,percent
BODY,5
BLACK FRUIT,5
FLORAL,3
HERBACIOUS,4
PEPPER,5
EARTH,3
BAKING SPICE,4
LEATHER,3
Astringent,3
Ph,3
ABV,4
Dryness,2
